,label
0,87
1,105
2,64
3,127
4,10
5,54
6,94
7,119
8,72
9,49
10,71
11,35
12,122
13,62
14,47
15,26
16,97
17,13
18,41
19,6
20,32
21,44
22,88
23,39
24,33
25,27
26,69
27,75
28,125
29,21
30,107
31,100
32,102
33,66
34,68
35,73
36,14
37,81
38,95
39,85
40,70
41,91
42,65
43,123
44,90
45,20
46,38
47,104
48,30
49,60
50,48
51,7
52,12
53,101
54,121
55,126
56,124
57,80
58,59
59,84
60,78
61,109
62,117
63,15
64,4
65,45
66,3
67,86
68,99
69,108
70,19
71,2
72,37
73,114
74,67
75,8
76,58
77,76
78,34
79,18
80,36
81,106
82,63
83,83
84,40
85,61
86,23
87,28
88,89
89,120
90,42
91,103
92,92
93,24
94,79
95,22
96,116
97,115
98,110
99,112
100,51
101,50
102,52
103,55
104,56
105,46
106,11
107,9
108,0
109,1
110,31
111,96
112,43
113,29
114,74
115,17
116,98
117,77
118,118
119,57
120,53
121,25
122,111
123,5
124,113
125,16
126,82
127,93
